codigo_departamento,departamento,anio,pib_total_miles_millones_cop,pib_variacion_pct_anual_vs_anio_previo,total_admitidos,total_matriculados,ratio_matriculados_sobre_admitidos,var_pct_matriculados_vs_anio_previo,ipc_nacional_total_var_mensual_media,ipc_nacional_total_var_mensual_mediana,ipc_nacional_total_var_mensual_std,ipc_nacional_educacion_var_mensual_media,ipc_nacional_educacion_var_mensual_mediana,ipc_nacional_educacion_var_mensual_std,ipc_nacional_alimentos_var_mensual_media,ipc_nacional_alimentos_var_mensual_mediana,ipc_nacional_alimentos_var_mensual_std,ipc_nacional_transporte_var_mensual_media,ipc_nacional_transporte_var_mensual_mediana,ipc_nacional_transporte_var_mensual_std,ipc_capital_total_var_mensual_media,ipc_capital_educacion_var_mensual_media,geih_td_nacional_media_anual,geih_to_nacional_media_anual,geih_tgp_nacional_media_anual,proxy_pib_miles_mm_cop_por_matriculado,spadies_td_anual_universitario,spadies_td_anual_tyt,spadies_td_anual_tecnico_profesional,spadies_td_anual_tecnologico,outcome_tasa_desercion_snies,outcome_merge_pendiente
5,Antioquia,1980,93254.66356645658,,5850,25380.287983422226,4.338510766396961,,2.8973713224089863,2.557027217349171,1.765313175910073,2.89935154292414,2.7517651208882983,1.277358166197878,3.244372563781024,2.7532540835718575,1.1746521426252408,3.5468089177001763,3.417972963901913,0.990478315244534,2.832724492044312,3.0748070838004558,14.207122226218916,59.06889384170276,54.576603140965794,3.6742949342169884,10.237857521424033,10.172262389805512,9.161604362147058,9.296169472798274,9.313036862243196,1
5,Antioquia,1981,106592.93932895822,14.303065661693488,6330,24474.15480090918,3.8663751660204073,-3.570224195662835,2.389388559063052,2.374596318217843,1.6378695428357153,2.326745309090812,2.339010348165358,1.8810646102194721,1.9465710173690751,2.0218789259253747,1.9174205737932521,2.9559701769230218,2.396779687061093,1.6904672422660796,2.295526688884603,2.364258101251004,14.906831851941556,58.573430577118714,55.392576387657066,4.355326678124895,8.726104791884103,9.658009160428582,8.680024700407838,8.621592419641951,8.613722360917842,1
5,Antioquia,1982,155711.4074005364,46.080414313365424,7680,27001.37645298254,3.515804225648768,10.32608346491082,3.018150830480554,2.4387518252810767,1.800700465565883,2.8439721430165146,2.270475366384305,1.3898837618105708,3.4896189251567247,2.575701085443559,2.058708169139812,3.541808278852851,2.4357125531169275,1.056867636009086,3.0293501444811453,3.070570748975469,13.384959844637265,56.2520381875685,55.07674252396649,5.766795173263722,13.997680776997512,15.497334036372376,12.122143071501169,12.281194508107296,12.746302466890317,1
5,Antioquia,1983,136489.2952723363,-12.344703865372601,6690,27854.972035606144,4.163672950015866,3.1613039583740137,3.5,3.308315214958089,2.4282131033981815,3.5495448132682386,3.1178842584803133,3.137030724671465,3.6480847470996416,2.786713253168193,1.6546474890094138,2.771004192287097,2.635953685015651,1.604275167719958,3.390298458417957,3.349566618085693,14.885297531767891,56.46770186400912,54.87819939716174,4.899997569477589,9.774227760018269,16.284386799019696,10.479668757127987,11.915543572668645,11.243151869033218,1
5,Antioquia,1984,128743.92107071521,-5.674711841809135,6810,29301.735175821068,4.302751127139658,5.193913454178204,2.3126773002213312,2.2297880105218053,1.837916068374874,2.133231535356353,2.1386838662859105,2.355624420141103,2.6507973134709903,2.6539901118862192,1.481952640949085,1.8559988167028882,2.5306189143964355,2.6270730981668193,2.325804725638152,2.3458007084902985,12.760917719583684,58.84434226130186,55.707046872065106,4.393730279050195,8.697522580678513,13.206111949910435,9.296683067015303,9.341069403085427,9.536844663250275,1
5,Antioquia,1985,84096.72403760691,-34.67907196067527,7140,28836.959155693323,4.038789797716151,-1.5861723455587868,2.3126904344406554,2.2437134603727986,1.5085289173822292,2.193545124870925,1.898035140063768,1.6086530371013805,2.117157595378946,2.3530786349143953,1.0914058462347564,2.286520170819722,2.302210539158322,0.8324417625887683,2.274902062155711,2.1435932985176294,11.053864437320945,60.56956301802872,56.12713061064401,2.9162826629382512,10.64800200616418,19.287031567476458,13.274576503939661,15.145356241352442,12.901196048390169,1
5,Antioquia,1986,84293.89104690384,0.2344526633507846,7380,31708.594816602992,4.296557563225337,9.958177786379803,3.5,3.1564969166692696,2.4655778583351258,3.6821595019227806,3.2772502726063863,2.4235291862389925,3.3765772798061757,2.8702688062685193,3.312807896388785,4.194300756354232,4.3307817244189355,1.5392534112460547,3.5808036163212753,3.8068383197747266,11.755676288840869,61.89125658877934,55.98659046292559,2.6583925126434984,9.303285037402748,11.017394302249825,12.757576626382011,11.513656294815373,10.662873653566947,1
5,Antioquia,1987,115345.96207014972,36.837866466464945,9270,33932.16679525686,3.660427917503437,7.012521341657122,3.113947783322327,3.539722567987208,1.687547056370702,3.2978371815730565,3.117259964428079,1.3469892022438463,2.6957642735950174,4.207826909899979,1.9105695231758968,3.1570425003210394,3.1399618309793147,2.3240907186813,3.080455751389651,3.311122607871049,12.759785960122855,60.347344276542685,55.24265868986441,3.399310240520011,11.876831896182601,14.467511265805507,13.208798615184538,11.814714318100952,12.173201095244675,1
5,Antioquia,1988,169684.16907382145,47.10889399892905,9600,37115.05317303689,3.8661513721913425,9.380144795895976,2.1244204912520384,2.334831067681096,1.3826070950508236,2.010641923706587,2.7080067186958474,1.2862874023745736,2.161430327493323,2.9042572953766617,1.5200249627512878,1.636098699717265,3.156378033102611,1.5591771553224931,2.0893475017307237,1.9711529311318832,14.073280119116198,59.374960684835074,55.75807128189943,4.571842273341873,11.645973826477215,13.65113799626236,11.601940866052075,12.583259500369682,10.420426658285377,1
5,Antioquia,1989,179340.4586184633,5.690742747156847,8700,37407.903354298076,4.299759006241159,0.7890334412182242,2.9340480348687716,3.272751267053548,1.6005304322800367,2.8235647354700464,2.9434982725135743,1.834796511342712,2.3865927375913687,3.409990199883493,1.9365889232753948,3.5973171205569074,2.8592895414688324,2.114712524999853,2.8198055161660873,3.1373495680166608,13.715996039150456,58.98468691943499,57.426862552972764,4.7941863226038715,11.339654508361532,15.972123678936143,16.2422847391321,12.125459523205816,13.32516444051447,1
